MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Age,Garage_Age,RemodAge,TotalSF,TotalBath,TotalPorchSF,logSP
60,RL,65.0,9.042040056544483,Pave,<None>,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.2337097665730556,Gd,TA,PConc,Gd,TA,No,GLQ,0.802294287732107,Unf,-0.3596623231834907,-0.8863619108242702,856,GasA,Ex,Y,SBrkr,-0.806073637329059,1.1722480135055988,0,0.5316669703090513,1,0,2,1,3,1,Gd,8,Typ,0,<None>,Attchd,0.36607475378556836,RFn,2,548,TA,TA,Y,-0.9490260586845501,0.8451956688908682,-0.40792062110509075,0,-0.2940036598327685,0,<None>,<None>,<None>,0,2,2008,WD,Normal,5,-0.7943788446665072,5,0.10832428826214069,3.5,-0.5192143551037632,12.24769911637256
20,RL,80.0,9.169622538697624,Pave,<None>,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,-0.8171343255986645,TA,TA,CBlock,Gd,TA,Gd,ALQ,1.0177597711050144,Unf,-0.3596623231834907,-0.4333312190740005,1262,GasA,Ex,Y,SBrkr,0.42921927572064933,-0.8700861080477102,0,-0.39028919235378756,0,1,2,0,3,1,TA,6,Typ,1,TA,Attchd,0.22710204210844584,RFn,2,460,TA,TA,Y,1.2147665734374706,-1.0703598832348913,-0.40792062110509075,0,-0.2940036598327685,0,<None>,<None>,<None>,0,5,2007,WD,Normal,31,0.27406313167405116,31,0.0535188088872142,2.5,0.831210650310006,12.109016442313738
60,RL,68.0,9.328212292571072,Pave,<None>,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.1970631314496274,Gd,TA,PConc,Gd,TA,Mn,GLQ,0.5746146329881606,Unf,-0.3596623231834907,-0.04724348854836805,920,GasA,Ex,Y,SBrkr,-0.576379573941165,1.1748906198467102,0,0.6652489387146228,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,0.35569415273493526,RFn,2,608,TA,TA,Y,-0.9490260586845501,0.671672051426394,-0.40792062110509075,0,-0.2940036598327685,0,<None>,<None>,<None>,0,9,2008,WD,Normal,7,-0.6009832882281373,6,0.2869461773461568,3.5,-0.7243929347384952,12.317171167298682
70,RL,60.0,9.164401140034737,Pave,<None>,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,-0.8171343255986645,TA,TA,BrkTil,TA,Gd,No,ALQ,0.14325593915225845,Unf,-0.3596623231834907,0.18401664689200234,756,GasA,Gd,Y,SBrkr,-0.4375371796718011,1.1489630760863911,0,0.5441990271622638,1,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,0.3401491808348666,Unf,3,642,TA,TA,Y,-0.9490260586845501,0.5876786066794994,2.4547027150143044,0,-0.2940036598327685,0,<None>,<None>,<None>,0,2,2006,WD,Abnorml,91,-0.5230116963689764,36,-0.01382539616746169,2.0,0.8662468569909072,11.849404844423074
60,RL,84.0,9.565283817736766,Pave,<None>,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.3354426917538689,Gd,TA,PConc,Gd,TA,Av,GLQ,0.754980794633998,Unf,-0.3596623231834907,0.07824055486193568,1145,GasA,Ex,Y,SBrkr,0.11991414716417578,1.2114269940645461,0,1.3085145814487806,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,0.3505090387225904,RFn,3,836,TA,TA,Y,1.0813478786015531,0.9953963630958194,-0.40792062110509075,0,-0.2940036598327685,0,<None>,<None>,<None>,0,12,2008,WD,Normal,8,-0.5230116963689764,8,1.0322386880213776,3.5,0.7429122716235349,12.429220196836384
50,RL,85.0,9.55506418479516,Pave,<None>,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,-0.8171343255986645,TA,TA,Wood,Gd,TA,No,GLQ,0.8254106787197777,Unf,-0.3596623231834907,-1.3120416692439887,796,GasA,Ex,Y,SBrkr,-1.0376866288036883,1.092200026609438,0,-0.16071072588935556,1,0,1,1,1,1,TA,5,Typ,0,<None>,Attchd,0.3143100015949657,Unf,2,480,TA,TA,Y,0.5697831429445975,0.517124232386858,-0.40792062110509075,320,-0.2940036598327685,0,<None>,MnPrv,Shed,700,10,2009,WD,Normal,16,-0.11380886792176724,14,-0.4509861981816801,2.5,1.1646554505414328,11.870606902224589
20,RL,75.0,9.218804450388312,Pave,<None>,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,1.2238026342391175,Gd,TA,PConc,Ex,TA,Av,GLQ,1.2578343208715896,Unf,-0.3596623231834907,-0.34055183113332654,1686,GasA,Ex,Y,SBrkr,1.3638533980323224,-0.8700861080477102,0,0.5028421699602059,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,0.3712702419788715,RFn,2,636,TA,TA,Y,1.167979159021486,0.8135168692139771,-0.40792062110509075,0,-0.2940036598327685,0,<None>,<None>,<None>,0,8,2007,WD,Normal,3,-1.0742144813951302,2,1.0726048823861265,3.0,0.8854558268749972,12.63460628389302
60,RL,0.0,9.247925132303454,Pave,<None>,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,1.2708722522776121,TA,TA,CBlock,Gd,TA,Mn,ALQ,0.9300287790126307,BLQ,2.7661893190062967,-0.6444272307778136,1107,GasA,Ex,Y,SBrkr,0.012567917096283108,1.1986759324573977,0,1.1515135365009213,1,0,2,1,3,1,TA,7,Typ,2,TA,Attchd,0.21181577303188934,RFn,2,484,TA,TA,Y,1.1432333473009242,1.417368024995644,2.4544179818536564,0,-0.2940036598327685,0,<None>,<None>,Shed,350,11,2009,WD,Normal,36,0.360497582483633,36,0.8700887266976117,3.5,1.9544704884887067,12.206077645517674
50,RM,51.0,8.71948076085107,Pave,<None>,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,-0.8171343255986645,TA,TA,BrkTil,TA,TA,No,Unf,-1.3528794921740805,Unf,-0.3596623231834907,0.9080312284091372,952,GasA,Gd,Y,FuseF,-0.24163028087689045,1.1479414019235956,0,0.6445127574306783,0,0,2,0,2,2,TA,8,Min1,2,TA,Detchd,0.0010527800314557908,Unf,2,468,Fa,TA,Y,0.8409947019594469,-1.0703598832348913,2.454208954424435,0,-0.2940036598327685,0,<None>,<None>,<None>,0,4,2008,WD,Abnorml,77,0.7898201726804517,58,0.31197436536374956,2.0,0.8193965459885554,11.774527900858468
190,RL,50.0,8.912069097970134,Pave,<None>,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,-0.8171343255986645,TA,TA,BrkTil,TA,TA,No,GLQ,0.923802976451867,Unf,-0.3596623231834907,-0.927616854994454,991,GasA,Ex,Y,SBrkr,-0.07483319999817925,-0.8700861080477102,0,-0.8636079515309929,1,0,1,0,2,2,TA,5,Typ,2,TA,Attchd,0.04073212345088314,RFn,1,205,Gd,TA,Y,-0.9490260586845501,-0.3341057749432351,-0.40792062110509075,0,-0.2940036598327685,0,<None>,<None>,<None>,0,1,2008,WD,Normal,69,0.7290208109877451,58,-0.5833666394680697,2.0,-1.4580738103161446,11.678448377988165
