MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,Foundation,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Age,Garage_Age,RemodAge,TotalSF,TotalBath,TotalPorchSF,logSP,Decade,HasPool,Has2ndFlr,HasGarage,HasBsmt,HasFireplace,IsNormalCondition,ExterQual_Score,ExterCond_Score,BsmtQual_Score,BsmtCond_Score,HeatingQC_Score,KitchenQual_Score,FireplaceQu_Score,GarageQual_Score,GarageCond_Score,Qual_x_TotalSF,Kitchen_x_TotalSF,Cond_x_Age,TotalSF_to_Neighborhood_Ratio,OverallQual_to_Neighborhood_Ratio,Age_vs_Neighborhood_Avg,TotalSF_to_MSSubClass_Ratio,LotArea_to_MSZoning_Ratio,TotalSF_to_OverallQual_Ratio,TotalSF_to_Decade_Ratio,KMeansCluster,TotalSF_squared,OverallQual_squared,GrLivArea_squared,GarageArea_squared,Age_squared,LotArea_squared,TotalBath_squared,LotArea_to_TotalSF_Ratio,GarageArea_to_TotalSF_Ratio,Porch_to_TotalSF_Ratio,Living_to_Total_Ratio,Bsmt_to_Total_Ratio,Rooms_per_SF,Bedrooms_per_SF,Bath_per_SF,YearsSince2006,MarketCycle,Quarter,PeakSeason,EndOfYear,AvgQuality,MaxQuality,MinQuality,QualityRange,ExcellentFeatures,PoorFeatures,Cluster_Size_k6,Cluster_Size_k8,Cluster_Quality_k6,Cluster_Quality_k8,Cluster_Efficiency_k4,Cluster_Efficiency_k6,Cluster_Age_Quality_k4,Cluster_Age_Quality_k6,Cluster_Luxury_k3,Cluster_Luxury_k5,Cluster_Comprehensive_k8,Cluster_Comprehensive_k10,Qual_x_LotArea,Qual_x_GarageArea,Qual_x_Bath,Qual_x_GrLivArea,Qual_x_BsmtSF,Age_x_Quality,Age_x_Size,Living_x_Bath,Rooms_x_Qual,Rooms_x_KitchenQual,GarageArea_x_Qual,GarageCars_x_Qual,BsmtSF_x_Qual,BsmtSF_x_OverallQual,YearBuilt_x_Qual,YearRemod_x_Qual,Bath_x_Qual,Bath_x_KitchenQual,AvgQual_x_Size,AvgQual_x_Age,Qual_Age_Interaction,RemodAge_FromBuild,Is_Remodeled,OverallQual_Squared
60,RL,65.0,9.042040056544485,Pave,<None>,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.2337097665730556,PConc,No,GLQ,0.802294287732107,Unf,-0.3596623231834907,-0.8863619108242702,856,GasA,Y,SBrkr,-0.806073637329059,1.1722480135055988,0,0.5316669703090513,1,0,2,1,3,1,8,Typ,0,Attchd,0.3660747537855683,RFn,2,548,Y,-0.94902605868455,0.8451956688908682,-0.4079206211050907,0,-0.2940036598327685,0,<None>,<None>,<None>,0,2,2008,WD,Normal,5,-0.7943788446665072,5,0.1083242882621406,3.5,-0.5192143551037632,12.24769911637256,2000,0,1,1,1,0,1,4,3,4,3,5,4,0,3,3,0.7582700178349843,0.4332971530485624,25,0.5054358744645508,1.0542168674698795,-1.0,0.25598736409369177,0.9817163671092406,0.2886600013241493,0.1939966733555333,Cluster_1,0.011734151427499333,49,0.2826697673176056,300304,25,81.75848838415499,12.25,8.158298209563249,494.4401253348579,-0.4684679029437265,0.47970343692702827,772.3371300851064,5.223067517337535,1.9586503190015756,3.157920508525552,2,2,1,0,0,3.727272727272727,7,0,7,6,1,1,7,1,1,0,0,2,0,1,1,4,1,63.29428039581139,3836,24.5,3.721668792163359,5992,35,0.541621441310703,1.8608343960816796,56,32,1644,14,3424,5992,14021,14021,24.5,14.0,0.40375416534070585,18.636363636363637,35,0,0,49
20,RL,80.0,9.169622538697624,Pave,<None>,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,-0.8171343255986645,CBlock,Gd,ALQ,1.0177597711050144,Unf,-0.3596623231834907,-0.4333312190740005,1262,GasA,Y,SBrkr,0.4292192757206493,-0.8700861080477102,0,-0.3902891923537875,0,1,2,0,3,1,6,Typ,1,Attchd,0.2271020421084458,RFn,2,460,Y,1.2147665734374706,-1.0703598832348913,-0.4079206211050907,0,-0.2940036598327685,0,<None>,<None>,<None>,0,5,2007,WD,Normal,31,0.2740631316740511,31,0.0535188088872142,2.5,0.831210650310006,12.109016442313738,1970,0,0,1,1,1,0,3,3,4,3,5,3,3,3,3,0.3211128533232852,0.1605564266616426,248,0.1359246852334866,0.8918918918918919,2.0,2.977907611134311,0.9955683087178718,-0.47873041369938507,-0.11284678271598993,Cluster_1,0.0028642629047061574,36,0.15232565366817175,211600,961,84.08197750219145,6.25,8.70380524898563,436.63197668571087,0.788985107145811,-0.37046248160109535,1197.8903360377544,9.840730924818258,4.920365462409129,2.372999873291907,1,1,2,1,0,4.0,8,3,5,4,0,4,1,0,7,0,0,1,3,0,0,1,4,55.01773523218574,2760,15.0,-2.341735154122725,7572,186,1.65908307550364,-0.9757229808844687,36,18,1380,12,5048,7572,11856,11856,15.0,7.5,0.2140752355488568,124.0,186,0,0,36
60,RL,68.0,9.328212292571072,Pave,<None>,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.1970631314496274,PConc,Mn,GLQ,0.5746146329881606,Unf,-0.3596623231834907,-0.047243488548368,920,GasA,Y,SBrkr,-0.576379573941165,1.1748906198467102,0,0.6652489387146228,1,0,2,1,3,1,6,Typ,1,Attchd,0.3556941527349352,RFn,2,608,Y,-0.94902605868455,0.671672051426394,-0.4079206211050907,0,-0.2940036598327685,0,<None>,<None>,<None>,0,9,2008,WD,Normal,7,-0.6009832882281373,6,0.2869461773461568,3.5,-0.7243929347384952,12.317171167298682,2000,0,1,1,1,1,1,4,3,4,3,5,4,3,3,3,2.0086232414230976,1.1477847093846272,35,1.3388769443861088,1.0542168674698795,1.0,0.6780990371969617,1.0127867855283903,0.7646473866715476,0.5138884799550243,Cluster_1,0.08233810869357207,49,0.4425561504609319,369664,49,87.01554457527405,12.25,7.2483313263395415,472.43622981480985,-0.5628774128163492,0.5169205600240787,714.8706109039887,3.6030648994926233,1.8015324497463117,2.7196164545260437,2,2,3,0,0,4.0,7,3,4,6,0,1,7,1,1,0,0,2,0,0,0,4,1,65.29748604799751,4256,24.5,4.6567425710023596,6440,49,2.0086232414230976,2.3283712855011798,42,24,1824,14,3680,6440,14007,14014,24.5,14.0,1.1477847093846272,28.0,49,1,1,49
70,RL,60.0,9.164401140034736,Pave,<None>,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,-0.8171343255986645,BrkTil,No,ALQ,0.1432559391522584,Unf,-0.3596623231834907,0.1840166468920023,756,GasA,Y,SBrkr,-0.4375371796718011,1.1489630760863911,0,0.5441990271622638,1,0,1,0,3,1,7,Typ,1,Detchd,0.3401491808348666,Unf,3,642,Y,-0.94902605868455,0.5876786066794994,2.4547027150143044,0,-0.2940036598327685,0,<None>,<None>,<None>,0,2,2006,WD,Abnorml,91,-0.5230116963689764,36,-0.0138253961674616,2.0,0.8662468569909072,11.849404844423074,1910,0,1,1,1,1,1,3,3,3,4,4,4,4,3,3,-0.0967777731722312,-0.0553015846698464,455,-0.0391638918200441,1.115625,22.0,0.16018769786782078,0.9950014087158253,-0.03684158871506894,0.07035265618551144,Cluster_0,0.0001911415791872619,49,0.2961525811643543,412164,8281,83.98624825546996,4.0,9.292878871976038,651.0003375720853,0.8783909600028637,0.5518282716340096,766.5985283559136,4.5330944242749105,1.9427547532606761,2.028038434804004,0,0,1,0,0,3.909090909090909,7,3,4,6,0,1,7,3,5,0,0,3,1,0,0,2,3,64.15080798024314,4494,14.0,3.809393190135846,5292,637,-1.2581110512390057,1.0883980543245275,49,28,1926,21,2268,5292,13405,13790,14.0,8.0,-0.05404473047280444,355.72727272727275,637,55,1,49
60,RL,84.0,9.565283817736766,Pave,<None>,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.3354426917538689,PConc,Av,GLQ,0.754980794633998,Unf,-0.3596623231834907,0.0782405548619356,1145,GasA,Y,SBrkr,0.1199141471641757,1.211426994064546,0,1.3085145814487806,1,0,2,1,4,1,9,Typ,1,Attchd,0.3505090387225904,RFn,3,836,Y,1.0813478786015531,0.9953963630958194,-0.4079206211050907,0,-0.2940036598327685,0,<None>,<None>,<None>,0,12,2008,WD,Normal,8,-0.5230116963689764,8,1.0322386880213776,3.5,0.7429122716235349,12.429220196836384,2000,0,1,1,1,1,1,4,3,4,3,5,4,3,3,3,8.257909504171021,4.1289547520855105,40,0.6933086229244977,1.0092307692307692,-4.0,2.439342691296271,1.038526219878967,1.0515530268120514,1.8486239309546908,Cluster_3,1.065516709048095,64,1.7122104098640776,698896,64,91.49465451385684,12.25,4.706771834488443,411.3690015487029,0.3655634921244645,0.6438783934001241,563.4180703029483,3.8986108523307523,1.7327159343692233,1.7222386428474403,2,2,4,0,1,4.090909090909091,8,3,5,6,0,2,6,5,4,0,0,2,5,0,0,3,8,76.52227054189413,6688,28.0,10.468116651590245,9160,64,8.257909504171021,4.579801035070732,72,36,2508,24,4580,9160,16000,16000,28.0,14.0,4.222794632814726,32.72727272727273,64,0,0,64
50,RL,85.0,9.55506418479516,Pave,<None>,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,-0.8171343255986645,Wood,No,GLQ,0.8254106787197777,Unf,-0.3596623231834907,-1.312041669243989,796,GasA,Y,SBrkr,-1.0376866288036883,1.092200026609438,0,-0.1607107258893555,1,0,1,1,1,1,5,Typ,0,Attchd,0.3143100015949657,Unf,2,480,Y,0.5697831429445975,0.517124232386858,-0.4079206211050907,320,-0.2940036598327685,0,<None>,MnPrv,Shed,700,10,2009,WD,Normal,16,-0.1138088679217672,14,-0.4509861981816801,2.5,1.1646554505414328,11.870606902224589,1990,0,1,1,1,0,1,3,3,4,3,5,3,0,3,3,-2.2549309909084005,-1.3529585945450404,80,1.425089268830324,0.8941605839416058,-10.0,1.3848694566158781,1.0374166493769694,0.8415790088747036,-1.0446406190012936,Cluster_1,0.20338855095036565,25,0.025827937415883562,230400,256,91.2992515755552,6.25,17.404050960374818,874.2949601817878,2.121359147409634,-0.292726203525459,1449.872475634798,5.957421540145697,1.1914843080291395,4.5536195842801455,3,3,4,0,0,3.3636363636363638,5,0,5,4,1,5,4,1,1,0,0,2,0,1,1,1,4,47.7753209239758,2400,12.5,-0.8035536294467776,3980,80,-7.215779170906882,-0.4017768147233888,25,15,1440,10,3184,3980,9965,9975,12.5,7.5,-1.516953575702015,53.81818181818182,80,2,1,25
20,RL,75.0,9.218804450388312,Pave,<None>,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,1.2238026342391175,PConc,Av,GLQ,1.2578343208715896,Unf,-0.3596623231834907,-0.3405518311333265,1686,GasA,Y,SBrkr,1.3638533980323224,-0.8700861080477102,0,0.5028421699602059,1,0,2,0,3,1,7,Typ,1,Attchd,0.3712702419788715,RFn,2,636,Y,1.167979159021486,0.8135168692139771,-0.4079206211050907,0,-0.2940036598327685,0,<None>,<None>,<None>,0,8,2007,WD,Normal,3,-1.0742144813951302,2,1.0726048823861265,3.0,0.8854558268749972,12.63460628389302,2000,0,0,1,1,1,1,4,3,5,3,5,4,4,3,3,8.580839059089012,4.290419529544506,15,3.0331695378475354,1.0903328050713155,2.0,59.682162391333655,1.0009081089588057,1.0926745177595563,1.9209152660598305,Cluster_3,1.1504812337185564,64,0.2528502478902886,404496,9,84.98635549449935,9.0,4.4479314551141,306.86022473699506,0.4272188270904771,0.24261361836670922,813.4690863310907,4.6578410826636265,1.9962176068558402,1.4474538902688447,1,1,3,1,0,4.2727272727272725,8,3,5,7,0,4,1,5,4,0,0,2,5,0,0,3,8,73.7504356031065,5088,24.0,4.022737359681647,13488,24,3.2178146471583795,1.5085265098806178,56,28,1908,16,8430,13488,16032,16040,24.0,12.0,4.582948133831631,12.818181818181817,24,1,1,64
60,RL,0.0,9.247925132303454,Pave,<None>,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,1.270872252277612,CBlock,Mn,ALQ,0.9300287790126308,BLQ,2.7661893190062967,-0.6444272307778136,1107,GasA,Y,SBrkr,0.0125679170962831,1.1986759324573977,0,1.1515135365009213,1,0,2,1,3,1,7,Typ,2,Attchd,0.2118157730318893,RFn,2,484,Y,1.1432333473009242,1.417368024995644,2.4544179818536564,0,-0.2940036598327685,0,<None>,<None>,Shed,350,11,2009,WD,Normal,36,0.360497582483633,36,0.8700887266976117,3.5,1.9544704884887067,12.206077645517674,1970,0,1,1,1,1,0,3,3,4,3,5,3,3,3,3,6.090621086883282,2.610266180092835,216,2.1758633238643257,1.106060606060606,4.0,2.056156779317636,1.0040698124990135,2.318591859960925,-1.8346206787261818,Cluster_1,0.7570543923262713,49,1.3259834247448585,234256,1296,85.52411925268986,12.25,4.945179873168027,258.8112494826356,1.0451217958733459,0.6157534239214297,591.9505230935488,3.2535235689868514,1.3943672438515076,1.871568952870299,3,3,4,0,1,3.909090909090909,7,3,4,4,0,1,7,4,6,0,0,0,2,0,0,4,1,64.73547592612418,3388,24.5,8.060594755506449,7749,252,31.32319416111402,4.030297377753224,49,21,1452,14,4428,7749,13811,13811,24.5,10.5,3.401255931636119,140.72727272727272,252,0,0,49
50,RM,51.0,8.71948076085107,Pave,<None>,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,-0.8171343255986645,BrkTil,No,Unf,-1.3528794921740803,Unf,-0.3596623231834907,0.9080312284091372,952,GasA,Y,FuseF,-0.2416302808768904,1.1479414019235956,0,0.6445127574306783,0,0,2,0,2,2,8,Min1,2,Detchd,0.0010527800314557,Unf,2,468,Y,0.8409947019594469,-1.0703598832348913,2.454208954424435,0,-0.2940036598327685,0,<None>,<None>,<None>,0,4,2008,WD,Abnorml,77,0.7898201726804517,58,0.3119743653637495,2.0,0.8193965459885554,11.774527900858468,1930,0,1,1,1,1,0,3,3,3,3,4,3,3,2,3,2.1838205575462464,0.9359230960912486,385,-0.6660012638597219,1.2988505747126438,-9.0,-0.9579977648569415,1.0022758718335714,0.8313419101455078,-0.6862385606759094,Cluster_0,0.09732800464411427,49,0.41539669449089633,219024,5929,76.02934473885196,4.0,6.646075556844865,356.71428676904475,0.6245522531695007,0.49125407816332206,725.6239337695098,4.864662778596429,1.2161656946491073,1.5244200289275416,2,2,2,1,0,3.5454545454545454,7,2,5,3,1,1,7,3,5,0,0,3,1,0,4,2,3,61.03636532595749,3276,14.0,4.511589302014748,6664,539,24.022026133008712,1.2890255148613565,56,24,936,14,2856,6664,13517,13650,14.0,6.0,1.1060909317442027,273.0,539,19,1,49
190,RL,50.0,8.912069097970134,Pave,<None>,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,-0.8171343255986645,BrkTil,No,GLQ,0.923802976451867,Unf,-0.3596623231834907,-0.927616854994454,991,GasA,Y,SBrkr,-0.0748331999981792,-0.8700861080477102,0,-0.8636079515309929,1,0,1,0,2,2,5,Typ,2,Attchd,0.0407321234508831,RFn,1,205,Y,-0.94902605868455,-0.3341057749432351,-0.4079206211050907,0,-0.2940036598327685,0,<None>,<None>,<None>,0,1,2008,WD,Normal,69,0.7290208109877451,58,-0.5833666394680697,2.0,-1.4580738103161446,11.678448377988165,1930,0,0,1,1,1,0,3,3,3,3,5,3,3,4,3,-2.916833197340348,-1.750099918404209,414,0.805627600432071,0.9897610921501706,-9.0,3.5329262764329177,0.967605102783557,1.0886122906500244,1.2832101847475295,Cluster_2,0.34031663604426876,25,0.7458186939475577,42025,4761,79.4249756069942,4.0,21.390675692872467,492.0393310278115,-3.4996568888640383,-2.0728247743493093,2378.590131944201,36.659028558663884,14.663611423465554,4.800383717344502,2,2,1,0,1,3.727272727272727,6,3,3,4,0,5,3,2,5,0,0,0,1,0,4,7,0,44.56034548985067,1025,10.0,-4.318039757654964,4955,345,-40.252298123296804,-1.7272159030619858,25,15,820,5,2973,4955,9695,9750,10.0,6.0,-2.174366565290078,257.1818181818182,345,11,1,25
