MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,logSP,Age,Garage_Age,RemodAge,KMeansCluster
60,RL,65.0,-0.1399788607651613,Pave,<None>,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.2337097664160317,Gd,TA,PConc,Gd,TA,No,GLQ,0.8022942872739641,Unf,-0.359662323183478,-0.8863619112658598,856,GasA,Ex,Y,SBrkr,-0.8060736359204286,1.172248014399104,0,0.5316669672455139,1,0,2,1,3,1,Gd,8,Typ,0,<None>,Attchd,0.3660747501607885,RFn,2,548,TA,TA,Y,-0.9490260588204544,0.8451956680885675,-0.4079206211052366,0,-0.2940036598327685,0,<None>,<None>,<None>,0,2,2008,WD,Normal,12.24769911637256,5,2007.6339252498392,5,2
20,RL,80.0,0.1086724786390009,Pave,<None>,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,<None>,-0.8171343254785851,TA,TA,CBlock,Gd,TA,Gd,ALQ,1.017759758797275,Unf,-0.359662323183478,-0.4333312196194054,1262,GasA,Ex,Y,SBrkr,0.4292192790198926,-0.8700861079650746,0,-0.3902891960672775,0,1,2,0,3,1,TA,6,Typ,1,TA,Attchd,0.2271020426758095,RFn,2,460,TA,TA,Y,1.2147665719386531,-1.0703598828507337,-0.4079206211052366,0,-0.2940036598327685,0,<None>,<None>,<None>,0,5,2007,WD,Normal,12.109016442313738,31,2006.7728979573242,31,3
60,RL,68.0,0.4195532161234475,Pave,<None>,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.1970631307788098,Gd,TA,PConc,Gd,TA,Mn,GLQ,0.5746146433069189,Unf,-0.359662323183478,-0.0472434890270464,920,GasA,Ex,Y,SBrkr,-0.5763795712486482,1.1748906208626533,0,0.6652489363529128,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,0.3556941494278665,RFn,2,608,TA,TA,Y,-0.9490260588204544,0.6716720498364837,-0.4079206211052366,0,-0.2940036598327685,0,<None>,<None>,<None>,0,9,2008,WD,Normal,12.317171167298682,7,2007.6443058505722,6,2
70,RL,60.0,0.0984710016364096,Pave,<None>,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,<None>,-0.8171343254785851,TA,TA,BrkTil,TA,Gd,No,ALQ,0.1432559643819273,Unf,-0.359662323183478,0.1840166465096373,756,GasA,Gd,Y,SBrkr,-0.4375371764096366,1.1489630759198732,0,0.5441990241580829,1,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,0.3401491780022002,Unf,3,642,TA,TA,Y,-0.9490260588204544,0.587678604771527,2.454702714715935,0,-0.2940036598327685,0,<None>,<None>,<None>,0,2,2006,WD,Abnorml,11.849404844423074,91,2005.659850821998,36,3
60,RL,84.0,0.8880227070910689,Pave,<None>,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.335442693198294,Gd,TA,PConc,Gd,TA,Av,GLQ,0.7549807965676414,Unf,-0.359662323183478,0.0782405544306915,1145,GasA,Ex,Y,SBrkr,0.1199141511467801,1.211426996818533,0,1.3085145845927884,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,0.3505090355739435,RFn,3,836,TA,TA,Y,1.0813478785100958,0.9953963631168472,-0.4079206211052366,0,-0.2940036598327685,0,<None>,<None>,<None>,0,12,2008,WD,Normal,12.429220196836384,8,2007.6494909644261,8,1
50,RL,85.0,0.867735039259253,Pave,<None>,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,<None>,-0.8171343254785851,TA,TA,Wood,Gd,TA,No,GLQ,0.8254106770648978,Unf,-0.359662323183478,-1.3120416693488877,796,GasA,Ex,Y,SBrkr,-1.0376866291204252,1.092200023997852,0,-0.1607107301303362,1,0,1,1,1,1,TA,5,Typ,0,<None>,Attchd,0.3143099995472106,Unf,2,480,TA,TA,Y,0.5697831464521192,0.5171242302436534,-0.4079206211052366,320,-0.2940036598327685,0,<None>,MnPrv,Shed,700,10,2009,WD,Normal,11.870606902224589,16,2008.6856900004527,14,2
20,RL,75.0,0.2048692495940733,Pave,<None>,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,1.2238026339400592,Gd,TA,PConc,Ex,TA,Av,GLQ,1.2578342936143674,Unf,-0.359662323183478,-0.3405518316743957,1686,GasA,Ex,Y,SBrkr,1.363853394563049,-0.8700861079650746,0,0.5028421667652697,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,0.371270238194802,RFn,2,636,TA,TA,Y,1.1679791580394137,0.8135168682547921,-0.4079206211052366,0,-0.2940036598327685,0,<None>,<None>,<None>,0,8,2007,WD,Normal,12.63460628389302,3,2006.6287297618053,2,1
60,RL,0.0,0.2619179482279303,Pave,<None>,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,1.27087225267474,TA,TA,CBlock,Gd,TA,Mn,ALQ,0.9300287717153056,BLQ,2.7661893183995296,-0.6444272313023148,1107,GasA,Ex,Y,SBrkr,0.0125679211352939,1.1986759345951692,0,1.1515135379778478,1,0,2,1,3,1,TA,7,Typ,2,TA,Attchd,0.2118157740521918,RFn,2,484,TA,TA,Y,1.143233346581966,1.417368028028526,2.454417981588408,0,-0.2940036598327685,0,<None>,<None>,Shed,350,11,2009,WD,Normal,12.206077645517674,36,2008.7881842259478,36,2
50,RM,51.0,-0.762924462342098,Pave,<None>,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,<None>,-0.8171343254785851,TA,TA,BrkTil,TA,TA,No,Unf,-1.3528794995691211,Unf,-0.359662323183478,0.9080312285536672,952,GasA,Gd,Y,FuseF,-0.2416302770755491,1.1479414017113363,0,0.6445127549500185,0,0,2,0,2,2,TA,8,Min1,2,TA,Detchd,0.0010527871268064,Unf,2,468,Fa,TA,Y,0.8409947039030771,-1.0703598828507337,2.4542089541828016,0,-0.2940036598327685,0,<None>,<None>,<None>,0,4,2008,WD,Abnorml,11.774527900858468,77,2007.9989472128732,58,3
190,RL,50.0,-0.3919665406552184,Pave,<None>,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,<None>,-0.8171343254785851,TA,TA,BrkTil,TA,TA,No,GLQ,0.9238029695005509,Unf,-0.359662323183478,-0.9276168554148756,991,GasA,Ex,Y,SBrkr,-0.0748331959820065,-0.8700861079650746,0,-0.8636079526986193,1,0,1,0,2,2,TA,5,Typ,2,TA,Attchd,0.0407321294270881,RFn,1,205,Gd,TA,Y,-0.9490260588204544,-0.3341057776073652,-0.4079206211052366,0,-0.2940036598327685,0,<None>,<None>,<None>,0,1,2008,WD,Normal,11.678448377988165,69,2007.9592678705728,58,0
