,xgboost,lightgbm,catboost,correlation,lasso,combined
TotalSF,0.14219710677862168,72.4,18.203870447665903,0.827068592464539,0.10191719030941714,0.8852825258169665
OverallQual,0.2350424736738205,36.2,20.060112768504887,0.8214046894649679,0.07871349608961623,0.8413698564750501
GrLivArea,0.006422025058418513,43.0,10.47230386340473,0.7378013013845104,0.057565225386553405,0.4736336824722326
LotArea,0.0030502832029014825,66.8,2.3880345126238494,0.40345459612699897,0.04158125660249902,0.37754653327727955
Age,0.00956255691125989,28.8,2.4773573572008116,0.5877667506602268,0.06348374872861086,0.3257585843796401
TotalBath,0.034236914664506915,24.8,3.81360292585464,0.6766776974808344,0.02038407664191004,0.2911528294175493
OverallCond,0.00781843289732933,48.8,3.5064355730781456,0.03682146866393336,0.04270719030896765,0.28673701250039313
GarageArea,0.003682594932615757,33.8,1.6877055627214943,0.6561285178162218,0.017963703647337508,0.257765522157651
1stFlrSF,0.003748623700812459,33.4,3.1928432552867445,0.6152744409324301,0.0016621892251457392,0.24014854353917603
Fireplaces,0.016725855879485607,16.0,2.1133588215252916,0.49199780725254405,0.030485500734206788,0.21630157505018893
GarageCars,0.05338723920285702,8.4,1.450939960371207,0.681032676302691,0.009807213286831597,0.2116177866414142
Garage_Age,0.0033761698985472323,16.0,1.8356223371140956,0.6131133809673013,0.027156749280374697,0.21114432031748107
BsmtFinSF1,0.004898360325023532,31.4,1.5062577620137088,0.250341363342232,0.026894437502235337,0.20679662117541567
CentralAir_Y,0.11438545435667039,8.0,1.366877774484872,0.3515975724207409,0.0,0.20655328420025731
YearBuilt,0.004248227830976248,24.8,2.2388803528810586,0.5870429875681247,0.0,0.19461601675394036
TotalPorchSF,0.0022397331427782773,34.6,0.8154132111700916,0.4121529707149511,0.005974947013309209,0.1932263889431829
RemodAge,0.013598647713661195,21.0,1.74892955700696,0.5685285173432842,0.0013639870196749272,0.18560805254769075
TotalBsmtSF,0.000922186835668981,15.6,1.6691843575106522,0.6475629761764193,0.0,0.16331365683010898
GarageYrBlt,0.004461276950314641,26.4,1.3157963262898107,0.3818481359006002,0.0,0.1600137826608398
YearRemodAdd,0.004818929708562791,20.4,0.6635872023573997,0.5659920578697337,0.0,0.15941595571821643
BsmtUnfSF,0.0014966769609600305,26.6,0.591189798382582,0.21285608985119214,0.009581983178700288,0.1417496368118745
KitchenQual_TA,0.04629643516964279,4.2,0.09547019923007,0.5385196904559608,0.0,0.13771765404511657
BsmtQual_Ex,0.016569602489471435,4.2,1.2063322683006554,0.4672112973337021,0.013349884063502595,0.13396092764515533
Foundation_PConc,0.0032842875574715436,3.2,1.8710429229218004,0.5311935334437755,0.009249135213394991,0.12720888211349934
OpenPorchSF,0.001069991453550756,16.2,0.18033543091938492,0.46041623504891543,0.0,0.12132734620941386
TotRmsAbvGrd,0.001265574133140035,7.4,0.5007371714280608,0.537701781209493,0.0,0.10767553660956874
FullBath,0.005043483636109158,2.8,0.0950237119159343,0.595898971101827,0.0,0.10002737591058625
MSZoning_RM,0.020795979723334312,6.2,0.3667187413584398,0.3474525967949121,0.0,0.09469283367079184
GarageFinish_Unf,0.0034984804689884184,5.6,0.9661398449800711,0.43214365805882704,0.0,0.09450469495532791
GarageType_Detchd,0.02563421170343645,3.0,0.15468708948164894,0.3886809402564623,0.0,0.09251405061180942
ExterQual_TA,0.0014096167695242911,1.4,0.06577696185783447,0.5964316336102318,0.0,0.09157245294501565
WoodDeckSF,0.0009426395408809185,11.2,0.1693020929189709,0.34011846720908956,0.0007621675304373269,0.08902869364990947
LotFrontage,0.0006235205451957882,18.0,0.22494656406195493,0.1831815488117047,0.0,0.0878180369765921
BsmtExposure_No,0.005261927773244679,9.8,0.04773557254395368,0.23500186546326007,0.008298273094674385,0.0854732518371581
2ndFlrSF,0.0022703569382429125,15.8,0.610390952275778,0.16996097203534918,0.0,0.08495729456348142
MSZoning_RL,0.014367340737953782,5.0,0.4051251636871765,0.2988700645064972,0.0032507386175344606,0.08352591804495602
KitchenQual_Ex,0.0034949648776091634,3.2,0.29994942271901653,0.4174701006512945,0.0036366466520850725,0.08309695846380179
GarageType_Attchd,0.0019291634031105786,2.8,0.9535877353155022,0.4163769794605492,0.0,0.08144395157105583
