,type,unique_values
MSSubClass,numeric (discrete),"[np.int64(20), np.int64(30), np.int64(40), np.int64(45), np.int64(50), np.int64(60), np.int64(70), np.int64(75), np.int64(80), np.int64(85), np.int64(90), np.int64(120), np.int64(160), np.int64(180), np.int64(190)]"
MSZoning,categorical,"['RL', 'RM', 'C (all)', 'FV', 'RH']"
LotFrontage,numeric (continuous),111 unique values
LotArea,numeric (continuous),1073 unique values
Street,categorical,"['Pave', 'Grvl']"
Alley,categorical,"['<None>', 'Grvl', 'Pave']"
LotShape,categorical,"['Reg', 'IR1', 'IR2', 'IR3']"
LandContour,categorical,"['Lvl', 'Bnk', 'Low', 'HLS']"
Utilities,categorical,"['AllPub', 'NoSeWa']"
LotConfig,categorical,"['Inside', 'FR2', 'Corner', 'CulDSac', 'FR3']"
LandSlope,categorical,"['Gtl', 'Mod', 'Sev']"
Neighborhood,categorical,25 unique values
Condition1,categorical,"['Norm', 'Feedr', 'PosN', 'Artery', 'RRAe', 'RRNn', 'RRAn', 'PosA', 'RRNe']"
Condition2,categorical,"['Norm', 'Artery', 'RRNn', 'Feedr', 'PosN', 'PosA', 'RRAn', 'RRAe']"
BldgType,categorical,"['1Fam', '2fmCon', 'Duplex', 'TwnhsE', 'Twnhs']"
HouseStyle,categorical,"['2Story', '1Story', '1.5Fin', '1.5Unf', 'SFoyer', 'SLvl', '2.5Unf', '2.5Fin']"
OverallQual,numeric (discrete),"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10)]"
OverallCond,numeric (discrete),"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9)]"
YearBuilt,numeric (continuous),112 unique values
YearRemodAdd,numeric (continuous),61 unique values
RoofStyle,categorical,"['Gable', 'Hip', 'Gambrel', 'Mansard', 'Flat', 'Shed']"
RoofMatl,categorical,"['CompShg', 'WdShngl', 'Metal', 'WdShake', 'Membran', 'Tar&Grv', 'Roll', 'ClyTile']"
Exterior1st,categorical,"['VinylSd', 'MetalSd', 'Wd Sdng', 'HdBoard', 'BrkFace', 'WdShing', 'CemntBd', 'Plywood', 'AsbShng', 'Stucco', 'BrkComm', 'AsphShn', 'Stone', 'ImStucc', 'CBlock']"
Exterior2nd,categorical,16 unique values
MasVnrType,categorical,"['BrkFace', '<None>', 'Stone', 'BrkCmn']"
MasVnrArea,numeric (continuous),327 unique values
ExterQual,categorical,"['Gd', 'TA', 'Ex', 'Fa']"
ExterCond,categorical,"['TA', 'Gd', 'Fa', 'Po', 'Ex']"
