Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,11148815,"SZU Bayes","2025-11-09 00:56:56",0.00000,1,bayes2003
2,14576743,"Monika Schultz","2025-10-22 12:14:42",0.00044,2,monikaschultz
3,14578438,ChihayaAnon987,"2025-10-22 16:40:52",0.00044,4,chihayaanon987
4,14598993,cghvjhb,"2025-10-27 12:27:51",0.00044,16,cghvjhb
5,13289810,"Akash Bommidi","2025-10-26 20:06:51",0.00044,1,akashbommidi
6,14603805,"C ORANGE1","2025-10-27 11:54:30",0.00044,12,corange1
7,14524885,User_1.0_rand,"2025-11-10 13:05:13",0.00044,32,user10rand
8,14635045,sys4561,"2025-10-31 08:13:26",0.00044,4,sys4561
9,9113328,"LAUVF PITIPAK","2025-11-02 09:30:09",0.00044,13,lauvfpitipak
10,14661588,"kog KOG","2025-11-04 14:29:58",0.00044,1,thekog
11,14661632,Afr1ste,"2025-11-07 02:48:38",0.00044,6,afr1ste
12,14331728,"Caesia Ma","2025-11-09 08:14:05",0.00044,10,caesiama
13,14665612,fzero777,"2025-11-05 06:43:36",0.00044,1,fzero777
14,14317132,"Jeki Wan Taufik","2025-11-12 22:48:53",0.00044,5,jekiwantaufik
15,14668261,shihongbin20090715,"2025-11-05 14:15:00",0.00044,4,shihongbin20090715
16,14668303,hongjianyu20070307,"2025-11-05 14:16:39",0.00044,1,hongjianyu20070307
17,14668311,liyunyi20090807,"2025-11-05 14:17:35",0.00044,1,liyunyi20090807
18,14667031,"VIRGIAWAN MALIK R","2025-11-05 15:09:58",0.00044,3,virgiawanmalikr
19,14397318,404_House_Not_found,"2025-11-06 08:38:14",0.00044,2,kelvinwu129
20,14472626,hyuvuhjb,"2025-11-08 19:30:46",0.00044,7,hyuvuhjb
21,14684662,RafaelDing,"2025-11-08 12:28:28",0.00044,7,rafaelding
22,14352320,"Dnyanesh Bharambe","2025-12-18 15:34:37",0.00044,18,dnyaneshbharambe
23,14687741,xxrcdx,"2025-11-09 12:31:27",0.00044,9,xxrcdx
24,14691617,"Korris CHUNG","2025-11-09 11:21:49",0.00044,2,kobeibraint123
25,14577834,ZY6789,"2025-11-09 13:45:34",0.00044,7,zy6789
26,14653590,SelfGroup_1,"2025-11-13 14:31:32",0.00044,35,selfgroup1
27,14697700,"Thanh Le #5","2025-11-13 00:48:27",0.00044,7,thanhle20041905
28,14077192,"nir afek","2025-11-11 09:25:44",0.00044,2,nirafek
29,14713750,junyuqwe,"2025-11-12 08:14:24",0.00044,3,junyuqwe
30,14678840,xxxxxxxxx,"2025-11-13 15:38:02",0.00044,29,"awdqwd,curryxwq"
31,14583552,LiQilong,"2025-12-09 01:01:20",0.00044,34,llloooccc
32,14723915,"Martini Jean","2025-11-13 09:35:50",0.00044,2,martinijean
33,14665054,toki_wcy,"2025-12-15 14:14:07",0.00044,76,tokiwcy
34,14727441,Bechrisslol2,"2025-11-13 18:40:41",0.00044,4,bechrisslol2
35,14308478,"Nay Chi Lin Lei","2025-11-16 16:42:39",0.00044,6,naychilinlei
36,14316924,BYPEAZ,"2025-11-17 14:45:58",0.00044,11,"hnineieiaung,kaunghsethein,khaingzinthan27,kornthana,siridee,thanakit845"
37,14707139,"Bogdan Vladevski","2025-12-14 19:15:27",0.00044,12,bogdanvladevski
38,12131773,"Tajmahal Ghaza Antoni","2025-11-28 16:17:29",0.00044,2,tajmahalghazaantoni
39,14835983,"justtin manickam","2025-11-26 00:08:31",0.00044,2,justtinmanickam
40,14841261,"l lll","2025-11-30 09:10:47",0.00044,25,lcarrot123
41,14856044,lee223333,"2025-11-29 14:22:20",0.00044,6,lee223333
42,14855996,dingby999,"2025-11-30 02:36:06",0.00044,7,dingby999
43,14834108,oxsivx,"2025-12-02 10:53:59",0.00044,4,oxsivx
44,14830968,nayu0324,"2025-12-02 10:06:28",0.00044,5,nayu0324
45,14830985,songjiseong,"2025-12-02 18:22:00",0.00044,7,songjiseong
46,14831033,"Donghoé Heo","2025-12-03 11:32:42",0.00044,18,donghoheo
47,14893836,"Meenal Sinha","2025-12-04 05:26:58",0.00044,1,meenalsinha
