iter	Passed	Remaining
0	2	257
1	4	196
2	5	176
3	7	168
4	9	175
5	10	168
6	12	160
7	13	154
8	15	158
9	17	154
10	18	152
11	20	153
12	22	150
13	23	146
14	25	142
15	26	139
16	28	139
17	30	137
18	31	134
19	33	132
20	35	131
21	36	129
22	37	126
23	39	123
24	41	123
25	42	121
26	44	119
27	45	117
28	47	115
29	48	113
30	49	111
31	51	108
32	52	106
33	54	105
34	55	103
35	57	101
36	58	99
37	60	97
38	62	97
39	63	95
40	64	93
41	66	91
42	68	90
43	69	88
44	70	86
45	72	84
46	73	83
47	75	81
48	77	80
49	78	78
50	79	76
51	81	75
52	83	73
53	84	72
54	86	70
55	87	69
56	89	67
57	90	65
58	92	64
59	93	62
60	95	61
61	96	59
62	98	57
63	99	56
64	102	54
65	103	53
66	104	51
67	106	50
68	108	48
69	109	47
70	111	45
71	112	43
72	114	42
73	116	40
74	117	39
75	118	37
76	120	35
77	122	34
78	123	32
79	125	31
80	126	29
81	128	28
82	130	26
83	131	25
84	132	23
85	135	21
86	136	20
87	138	18
88	139	17
89	141	15
90	142	14
91	144	12
92	145	10
93	147	9
94	149	7
95	150	6
96	152	4
97	153	3
98	155	1
99	157	0
