feature_value,count,mean_error_log_abs,mean_error_real_abs,mean_error_pct,std_error_log_abs
"(0.899, 6.585]",146,0.10841216523396681,27748.06119471218,10.928918777031948,0.09906812037296298
"(-1.149, -0.485]",145,0.08872335689388511,11436.017862650284,9.279264781249427,0.09480671128158309
"(0.578, 0.899]",146,0.08861229480294153,20609.881896832303,8.825775605698308,0.07647963497477527
"(0.226, 0.384]",145,0.08682364456199479,14471.26572344755,8.580962695047457,0.08139261714946919
"(-0.231, -0.0635]",145,0.08306847697350275,11546.264203029448,8.565315471923991,0.11508719713719555
"(0.0831, 0.226]",146,0.07903738125375896,14625.60166202609,8.409011814240358,0.09332113359056035
"(-3.6439999999999997, -1.149]",147,0.07831391684979595,10383.357052742216,8.0935486173459,0.07493890053465509
"(-0.485, -0.231]",146,0.0775093035446756,10736.252118303126,8.023121148059062,0.08128870210902273
"(-0.0635, 0.0831]",146,0.07623328479747328,11902.908379481969,7.736321999235181,0.07519067402407978
"(0.384, 0.578]",146,0.07519582103491557,14578.901446143378,7.732539620075528,0.08930537342528666
