feature_value,count,mean_error_log_abs,mean_error_real_abs,mean_error_pct,std_error_log_abs
"(1.245, 4.039]",146,0.10801987026085219,35810.66427954811,10.983052494310822,0.10100997948554288
"(-4.7170000000000005, -1.174]",148,0.10772326789840378,9637.203679546905,11.53325403846124,0.1179831197509579
"(-0.836, -0.518]",152,0.08739597110760763,10291.370315384773,8.781679574003753,0.10288462135681943
"(0.83, 1.245]",146,0.08251824057457234,18666.767311736145,8.31898106992598,0.07129603187336656
"(-1.174, -0.836]",144,0.08121565635582079,9219.301129219404,8.40462980639819,0.08952427853085153
"(0.247, 0.501]",145,0.08071523536285147,14894.780517749861,8.25717163954861,0.09330270003607097
"(0.501, 0.83]",146,0.07891487845762762,16281.429010886153,7.850707115418436,0.0793349273837089
"(-0.518, -0.289]",139,0.07477934754510283,10631.870565257832,7.703893226153688,0.06732586133049484
"(-0.0138, 0.247]",145,0.0713629211747832,12280.678931676295,7.273452496202926,0.06627269789888389
"(-0.289, -0.0138]",147,0.06825403082040188,10335.46545740062,6.966670616492494,0.07826192003843528
