feature_value,count,mean_error_log_abs,mean_error_real_abs,mean_error_pct,std_error_log_abs
"(-3.288, -1.541]",146,0.14113415179626196,18127.494864783715,14.67055371874168,0.12771667662302386
"(-1.541, -0.789]",146,0.11501971238038183,14548.56476842745,11.777511436522929,0.0987626565824852
"(1.152, 1.285]",89,0.08754376450404502,26029.060768880452,8.533575969546755,0.08721508148113588
"(-0.789, -0.438]",167,0.08498203979323947,10832.183230791627,8.739697744329495,0.09893121891215423
"(-0.206, 0.0425]",139,0.0772347746281923,11704.562481182316,7.80626877120605,0.07584924523541538
"(-0.438, -0.206]",131,0.07521450314293592,11511.189027181097,7.6587987997438995,0.07677696851941768
"(0.0425, 0.423]",153,0.07163816320799456,12072.96487832886,7.60153441761404,0.08432484409445573
"(0.423, 0.854]",140,0.06900627559140052,17635.73333175809,6.964910111813824,0.060951753330878176
"(1.053, 1.152]",185,0.0687908725220583,16772.68188404539,7.095864719662368,0.0785440019989882
"(0.854, 1.053]",162,0.05816669342780848,13186.878955346405,5.824194500763809,0.047700973619210836
