timestamp,model,rmse,hyperparams,feat_hash,feat_count,notes,runtime,kaggle_score
2025-12-18 20:12:51,ridge,20396.010639,"{""alpha"": 12}",f796319e,264,GridSearchCV optimized,,
2025-12-19 11:30:11,xgboost,0.133475,"{""device"": ""cuda"", ""eval_metric"": ""rmse"", ""n_jobs"": -1, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""tree_method"": ""hist""}",f796319e,264,Base model for Stacking,,
2025-12-19 11:30:22,lasso,24878.845905,"{""alpha"": 0.01}",f796319e,264,GridSearchCV optimized,,
2025-12-19 11:31:01,svr,0.156006,"{""C"": 9.12176658736022, ""epsilon"": 0.024369215373976755, ""gamma"": 0.00029274007818828906, ""kernel"": ""rbf""}",f796319e,264,Optuna Optimized,,
2025-12-19 11:33:27,lightgbm,0.125999,"{""device_type"": ""gpu"", ""n_jobs"": -1, ""objective"": ""regression"", ""random_state"": 42}",f796319e,264,Base model for Stacking,,
2025-12-19 11:36:21,random_forest,0.132964,"{""criterion"": ""mse"", ""max_depth"": 15, ""max_features"": 0.24253624636800145, ""min_samples_leaf"": 1, ""min_samples_split"": 4, ""n_estimators"": 569, ""n_jobs"": -1, ""random_state"": 42}",f796319e,264,Optuna Optimized,,
2025-12-19 11:48:39,catboost,0.121218,"{""depth"": 6, ""devices"": ""0"", ""iterations"": 2000, ""learning_rate"": 0.03, ""loss_function"": ""RMSE"", ""random_seed"": 42, ""task_type"": ""GPU"", ""thread_count"": -1, ""verbose"": 0}",f796319e,264,Base model for Stacking,,
2025-12-19 11:48:39,ridge,0.118331,"{""alphas"": [0.01, 0.1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30], ""cv_n_splits"": 5, ""cv_random_state"": 42, ""cv_shuffle"": true, ""n_jobs"": -1, ""refit"": true}",f796319e,264,Base model for Stacking,,1.41358
2025-12-19 11:56:20,random_forest,0.132797,"{""criterion"": ""mse"", ""max_depth"": 15, ""max_features"": 0.31196031858736717, ""min_samples_leaf"": 1, ""min_samples_split"": 4, ""n_estimators"": 645, ""n_jobs"": -1, ""random_state"": 42}",f796319e,264,Optuna Optimized,,
2025-12-19 11:57:23,svr,0.157113,"{""C"": 9.408923322001932, ""epsilon"": 0.011275502835184801, ""gamma"": 0.00036320821534075056, ""kernel"": ""rbf""}",f796319e,264,Optuna Optimized,,
